,caption,class
0,Air conditioner sound.,0
1,Air conditioning is heard.,0
2,Air conditioner unit noise.,0
3,Air conditioner is running.,0
4,Broken air-conditioning fan.,0
5,Sound of an air conditioner.,0
6,Air conditioning turning on.,0
7,Air conditioning is humming.,0
8,An air conditioner is heard.,0
9,An air conditioner is idling.,0
10,An air-conditioner is in use.,0
11,Air conditioning motor sound.,0
12,Air conditioner is flangered.,0
13,Air conditioning is on a car.,0
14,An air conditioner being hit.,0
15,Air conditioner is recording.,0
16,Air horn is sounding.,1
17,Air horn is blasting.,1
18,An airhorn is blowing.,1
19,An airhorn is sounding.,1
20,An airhorn is blasting.,1
21,Air horns are sounding.,1
22,An air horn is blaring.,1
23,An air horn is sounding.,1
24,An air horn of a bicycle.,1
25,An air horn is being blown.,1
26,An airhorn is being honked.,1
27,An airhorn is being tested.,1
28,An airhorn is being sounded.,1
29,Multiple airhorns sound off.,1
30,An air horn is being recorded.,1
31,Extremely loud air horn blast.,1
32,An airplane sound.,2
33,An airplane is near.,2
34,Sound in an airplane.,2
35,Noise on an airplane.,2
36,Boarding an airplane.,2
37,Noise in an airplane.,2
38,Airplane is arriving.,2
39,An airplane is flying.,2
40,An airplane is present.,2
41,An airplane flying low.,2
42,An airplane passing by.,2
43,An airplane is taxiing.,2
44,An airplane is passing.,2
45,Airplane is passing by.,2
46,Airplane is taking off.,2
47,An airplane is landing.,2
48,airplane flyby sound in the background,3
49,this is a sound of airplane flyby,3
50,a rhythmic sound of airplane flyby,3
51,a noisy airplane flyby sound,3
52,airplane flyby,3
53,airplane flyby can be heard,3
54,airplane flyby sound in a video,3
55,a sound of airplane flyby,3
56,this is an annoying sound of airplane flyby,3
57,a poor quality recording of airplane flyby,3
58,this is a fading sound of airplane flyby,3
59,this is a continuous sound of airplane flyby,3
60,a loud sound of airplane flyby,3
61,this is a clear sound of airplane flyby,3
62,this is a repetitive sound of airplane flyby,3
63,a snippet of the airplane flyby sound,3
64,Alarm is ringing.,4
65,Alarm clock sound.,4
66,A clock is ringing.,4
67,Clocks are ringing.,4
68,An alarm is ringing.,4
69,Alarm clock beeping.,4
70,Alarm clock ringing.,4
71,Alarm clock ticking.,4
72,A simple alarm clock.,4
73,Alarm ringing loudly.,4
74,Fire alarm is ringing.,4
75,Alarm-clock is ringing.,4
76,A car alarm is ringing.,4
77,Alarm clock is beeping.,4
78,Alarm clock is ringing.,4
79,Alarm clock is ticking.,4
80,"this is a sound of alligators, crocodiles hissing",5
81,"this is a fading sound of alligators, crocodiles hissing",5
82,"this is a continuous sound of alligators, crocodiles hissing",5
83,"a noisy alligators, crocodiles hissing sound",5
84,"this is a repetitive sound of alligators, crocodiles hissing",5
85,"alligators, crocodiles hissing sound in distance",5
86,"a blend of alligators, crocodiles hissing sounds",5
87,"this is a clear sound of alligators, crocodiles hissing",5
88,"a poor quality recording of alligators, crocodiles hissing",5
89,"this is an annoying sound of alligators, crocodiles hissing",5
90,"alligators, crocodiles hissing sound in a video",5
91,"alligators, crocodiles hissing can be heard",5
92,"a snippet of the alligators, crocodiles hissing sound",5
93,"a rhythmic sound of alligators, crocodiles hissing",5
94,"a recording of alligators, crocodiles hissing",5
95,"a loud sound of alligators, crocodiles hissing",5
96,Ambulance siren goes by.,6
97,Ambulance siren is heard.,6
98,Ambulance siren is blaring.,6
99,Ambulance siren is passing.,6
100,An ambulance siren is fast.,6
101,Ambulance siren is sounding.,6
102,Ambulance siren and traffic.,6
103,An ambulance siren is heard.,6
104,Ambulance sirens are blaring.,6
105,An ambulance siren is passing.,6
106,An ambulance siren is looping.,6
107,An ambulance siren is sounding.,6
108,An ambulance is using its siren.,6
109,An ambulance siren is passing by.,6
110,An ambulance yelp siren is heard.,6
111,Ambulance is making a siren noise.,6
112,An arc welder is zapping.,7
113,A robot is arc-welding body panels.,7
114,An old arc welder is making a sound.,7
115,Arc welding machine is welding steel.,7
116,Arc welding is happening in factories.,7
117,An arc welding machine is being turned on and off.,7
118,Arc welding and sheet metal engineering are heard.,7
119,Electric sparks are being made by an arc welding machine.,7
120,"Arc welding is starting and stopping with sparks, buzzes, and a hum.",7
121,A machine is operating with the sound of arc welding and indistinct speech.,7
122,The sound of stainless steel making in an electric arc-welding shop can be heard.,7
123,Tesla coil with a discharge is heard that sounds much like an old-style arc welder.,7
124,"A machine is being turned on, welding, losing arc, restriking, welding, and turned off.",7
125,"An arc welding machine is switched on, an attempt to strike an arc is made, it falls, and the machine is switched off.",7
126,this is an annoying sound of arc welding,7
127,this is a repetitive sound of arc welding,7
128,A baby is babbling.,8
129,Baby coughing and babbling.,8
130,A baby computer is babbling.,8
131,A baby is laughing and babbling.,8
132,A baby is babbling before sleep.,8
133,Babbling noises of a young baby.,8
134,Baby babbling or baby talk sound clip.,8
135,Baby babble is processed and recorded.,8
136,A baby is babbling in enthusiastic ways.,8
137,Baby is playing and babbling in the bath.,8
138,A baby is babbling and playing with a toy.,8
139,Baby boy is making baby noises and babbling.,8
140,A baby is making babble and semi-cry noises.,8
141,A baby girl is babbling and making trilling sounds.,8
142,a blend of baby babbling sounds,8
143,a recording of baby babbling,8
144,Baby is crying.,9
145,A baby is crying.,9
146,Baby girl is crying.,9
147,A baby boy is crying.,9
148,Baby crying in a crib.,9
149,A baby girl is crying.,9
150,Baby's cry is present.,9
151,Baby is whining/crying.,9
152,An alien baby is crying.,9
153,A baby is crying loudly.,9
154,A baby is crying in bed.,9
155,A baby is crying slowly.,9
156,Baby crying and talking.,9
157,A female baby is crying.,9
158,A baby is crying outside.,9
159,A newborn baby is crying.,9
160,Baby is laughing.,10
161,A baby is laughing.,10
162,Baby laughing sound.,10
163,A baby girl is laughing.,10
164,A newborn baby is laughing.,10
165,A baby is laughing happily.,10
166,Baby is panting and laughing.,10
167,A baby laugh is being remixed.,10
168,Someone is laughing like a baby.,10
169,A baby is gurgling and laughing.,10
170,A baby is laughing and babbling.,10
171,A baby is laughing and squealing.,10
172,"Baby laughs, giggles and sputters.",10
173,A baby girl is laughing and playing.,10
174,A baby is laughing and making sounds.,10
175,A baby boy is laughing and having fun.,10
176,Golden-oriole birds are calling with wind noise in trees.,11
177,Golden Oriole calls with other bird calls in a nature reserve.,11
178,"Many bird species are calling, including a black-winged oriole. Insects are chirping. Occasional drips are heard.",11
179,"Doves, orioles, whistlers, cuckoos, and other birds are singing and calling. A cicada chorus is in the background.",11
180,"Calls from orioles and loud stridulation from cicadas are heard in a rainforest atmosphere, with distant sounds of the sea.",11
181,a rhythmic sound of baltimore oriole calling,11
182,this is an annoying sound of baltimore oriole calling,11
183,baltimore oriole calling sound in the background,11
184,baltimore oriole calling,11
185,a poor quality recording of baltimore oriole calling,11
186,a snippet of the baltimore oriole calling sound,11
187,baltimore oriole calling sound in distance,11
188,a loud sound of baltimore oriole calling,11
189,this is a sound of baltimore oriole calling,11
190,baltimore oriole calling sound in a video,11
191,a recording of baltimore oriole calling,11
192,Swallows are calling.,12
193,Sheep are calling in a barn.,12
194,Rooster is calling in a barn.,12
195,Barn swallows are making noise.,12
196,Swallows are making flight calls.,12
197,Sheep are calling in an interior barn.,12
198,Cave swallows are calling and chirping.,12
199,Young barn owls are making threat calls.,12
200,A calf is calling. Swallows are calling.,12
201,A pair of tree swallows are making calls.,12
202,Birds are cooing and calling in an old barn.,12
203,Swallows are calling their parents in a nest.,12
204,A helicopter is flying and swallows are calling.,12
205,Excited calls from a cliff swallow colony are heard.,12
206,A bird is making calls. Distant swallows are chirping.,12
207,Swallow calls with distant church bells and city rumble.,12
208,A basketball is being bounced.,13
209,Basketballs are being bounced in a garage.,13
210,A basketball is being bounced in an indoor court.,13
211,A basketball is being bounced on a concrete floor.,13
212,Basketball bounces and footsteps are heard in a hurry.,13
213,basketball bounce sound in distance,13
214,this is a repetitive sound of basketball bounce,13
215,a sound of basketball bounce,13
216,a poor quality recording of basketball bounce,13
217,a blend of basketball bounce sounds,13
218,basketball bounce sound in the background,13
219,basketball bounce can be heard,13
220,a rhythmic sound of basketball bounce,13
221,this is a sound of basketball bounce,13
222,this is a continuous sound of basketball bounce,13
223,this is an annoying sound of basketball bounce,13
224,Bathroom fan is running.,14
225,A bathroom fan is running.,14
226,A fan is running in a bathroom.,14
227,A fan or ventilation is running.,14
228,A bathroom exhaust fan is running.,14
229,An old ventilation fan is running.,14
230,Bathroom ventilation fan is phasing.,14
231,"Bathroom fan is on, running, and off.",14
232,Ventilation fan is in a hotel bathroom.,14
233,An exhaust fan in a bathroom is running.,14
234,A large industrial heavy ventilation fan is running.,14
235,A bathroom ventilation fan is clicking in the breeze.,14
236,An old ventilation fan with a worn bearing is running.,14
237,The interior of a small apartment bathroom is being recorded with ventilation running.,14
238,this is a repetitive sound of bathroom ventilation fan running,14
239,this is a sound of bathroom ventilation fan running,14
240,Beat box break.,15
241,Beatboxing is heard.,15
242,A kid is beatboxing.,15
243,Beatboxing is opened.,15
244,A beatbox is looping.,15
245,Someone is beatboxing.,15
246,Beatboxing is playing.,15
247,A human is beat-boxing.,15
248,Someone is beat boxing.,15
249,A simple beatbox sound.,15
250,A human-beatbox sample.,15
251,A hissy beat box break.,15
252,A beatbox is crackling.,15
253,Someone is beat-boxing.,15
254,A beatbox is being made.,15
255,A beatbox is being used.,15
256,"a blend of bee, wasp, etc. buzzing sounds",16
257,"a recording of bee, wasp, etc. buzzing",16
258,"this is a fading sound of bee, wasp, etc. buzzing",16
259,"this is an annoying sound of bee, wasp, etc. buzzing",16
260,"bee, wasp, etc. buzzing",16
261,"bee, wasp, etc. buzzing can be heard",16
262,"a loud sound of bee, wasp, etc. buzzing",16
263,"a poor quality recording of bee, wasp, etc. buzzing",16
264,"bee, wasp, etc. buzzing sound in a video",16
265,"a rhythmic sound of bee, wasp, etc. buzzing",16
266,"a sound of bee, wasp, etc. buzzing",16
267,"bee, wasp, etc. buzzing sound in the background",16
268,"this is a repetitive sound of bee, wasp, etc. buzzing",16
269,"bee, wasp, etc. buzzing sound in distance",16
270,"this is a continuous sound of bee, wasp, etc. buzzing",16
271,"a snippet of the bee, wasp, etc. buzzing sound",16
272,Bird is tweeting.,17
273,Bird is chirping.,17
274,A bird is tweeting.,17
275,Birds are chirping.,17
276,Birds are tweeting.,17
277,A bird is chirping.,17
278,Electronic bird tweet.,17
279,Unknown bird chirping.,17
280,City bird is chirping.,17
281,A bird tweet is looped.,17
282,Lovebirds are chirping.,17
283,Birds chirp in a garden.,17
284,"Bells ring, birds chirp.",17
285,Many birds are chirping.,17
286,Bird songs and chirping.,17
287,A loud bird is chirping.,17
288,Bird is squawking.,18
289,Birds are squawking.,18
290,A bird is squawking.,18
291,Squawking birds in a garden.,18
292,A bird is squawking excitedly.,18
293,A bird is squawking by a creek.,18
294,Squawking birds are in a garden.,18
295,Crickets and birds are squawking.,18
296,Birds are chirping and squawking.,18
297,Birds are making squawking calls.,18
298,Birds are squawking after a rainstorm.,18
299,Birds are making loud throaty squawks.,18
300,Assorted birds are calling and squawking.,18
301,Squawking birds are being recorded in a garden.,18
302,Squawking and chirping bird sounds with tape hiss.,18
303,Red-winged Blackbirds are chattering and squawking.,18
304,Wings are flapping.,19
305,A bird is flapping.,19
306,Wing flap of a bird.,19
307,Birds wings are heard.,19
308,Flapping sound of wings.,19
309,Bird wings are flapping.,19
310,Giant wings are flapping.,19
311,Sparrow wings are flapping.,19
312,Bird is flapping its wings.,19
313,A bat is flapping its wings.,19
314,Wings of a bird are flapping.,19
315,Bird wings are being created.,19
316,A bird is flapping its wings.,19
317,A moth is flapping its wings.,19
318,Small bird wings are flapping.,19
319,A pigeon is flapping its wings.,19
320,A black capped chickadee is calling and fluttering near a pond.,20
321,Medium distance calls from a black capped sibia are heard with occasional calls from another bird species in the background.,20
322,a blend of black capped chickadee calling sounds,20
323,this is a clear sound of black capped chickadee calling,20
324,a recording of black capped chickadee calling,20
325,black capped chickadee calling,20
326,a sound of black capped chickadee calling,20
327,this is a repetitive sound of black capped chickadee calling,20
328,a rhythmic sound of black capped chickadee calling,20
329,this is an annoying sound of black capped chickadee calling,20
330,this is a sound of black capped chickadee calling,20
331,a loud sound of black capped chickadee calling,20
332,black capped chickadee calling sound in a video,20
333,a poor quality recording of black capped chickadee calling,20
334,black capped chickadee calling sound in distance,20
335,this is a continuous sound of black capped chickadee calling,20
336,a loud sound of blowtorch igniting,21
337,blowtorch igniting sound in distance,21
338,a blend of blowtorch igniting sounds,21
339,this is a fading sound of blowtorch igniting,21
340,this is a clear sound of blowtorch igniting,21
341,a noisy blowtorch igniting sound,21
342,this is a sound of blowtorch igniting,21
343,this is a repetitive sound of blowtorch igniting,21
344,blowtorch igniting sound in a video,21
345,a snippet of the blowtorch igniting sound,21
346,this is an annoying sound of blowtorch igniting,21
347,blowtorch igniting,21
348,a rhythmic sound of blowtorch igniting,21
349,blowtorch igniting can be heard,21
350,blowtorch igniting sound in the background,21
351,a recording of blowtorch igniting,21
352,Someone is bouncing on a trampoline.,22
353,A trampoline and a bed are being bounced on.,22
354,this is an annoying sound of bouncing on trampoline,22
355,a poor quality recording of bouncing on trampoline,22
356,bouncing on trampoline,22
357,a rhythmic sound of bouncing on trampoline,22
358,this is a fading sound of bouncing on trampoline,22
