,caption,class
0,Drives are dying with death coughs.,0
1,Someone has a major case of flem and is coughing.,0
2,"Someone is coughing with sudden inhale, loud inhale, loud coughs, sick coughs, and continuous coughs.",0
3,Patients are coughing. Machines are beeping and humming. Fluids are being sucked. People are talking and opening and closing doors.,0
4,"A congregation is going to communion, with footsteps, shuffling, coughing, and occasional whispered speech.",0
5,People talk to each other before plates and silverware clang in the background and a person coughs.,0
6,An old man is coughing.,0
7,"A car is driving from a country road to the highway with halting, taking turns, coughing, accelerating, and cobbling.",0
8,Someone is running with their keys just a jingling and then coughs.,0
9,"A crowd is speaking, creaking and popping are present, clopping occurs, and a person coughs",0
10,Girl is coughing with a cold.,0
11,"A woman speaks loudly, and a person coughs",0
12,Bruce is coughing in poison cloud.,0
13,Chimpanzees are screaming and making sounds while moving and coughing.,0
14,"A baby makes coughing, cooing, and moaning sounds.",0
15,"A baby cries and coughs, and then a man coughs and speaks",0
16,Several men and women speak in a noisy background while someone coughs.,0
17,Someone is coughing in the studio.,0
18,"Slow first, then quickening, horse feet and the jangle of their harness pass along, followed by a light cough.",0
19,"A man narrates in a large, echoing space, and people in the background talk and cough",0
20,"A truck idles, a door clacks, and someone coughs",0
21,Someone is making a sound of coughing and having a cold.,0
22,"Someone is coughing with long, drawn out and hoarse coughs.",0
23,A pre-school girl is coughing.,0
24,Someone is coughing in a room.,0
25,A sick man with a bad cough is being recorded.,0
26,A young woman coughing.,0
27,A girl coughing and talking,0
28,A herd of horses are grazing and coughing with a skylark in the background.,0
29,A horse coughs while wind blows in the background,0
30,Man is speaking while tromping through leaves. Another man coughs,0
31,People are coughing in a quiet crowd.,0
32,"Despite the loud, muffled chattering, a nearby cough of a woman and a faint whistle blowing are clearly audible.",0
33,"Someone starts a lighter, lights a cigarette, takes a breath from the cigarette, and then coughs.",0
34,A high-pitched female cough is heard.,0
35,A mandrill is making a coughing-like call. Insects are stridulating in the background.,0
36,Baby coughing and babbling.,0
37,Someone is coughing and choking and breathing heavily.,0
38,A woman or girl is coughing.,0
39,Children are coughing.,0
40,"A person coughs, a racket hits a ball, and applause is heard",0
41,A crowd applause followed by a person coughing,0
42,A man speaking followed by another man speaking then a person coughing,0
43,A young adult male is coughing and panting weakly after being choked.,0
44,Someone is choking and coughing.,0
45,"Humming from a motor, numerous people chattering while a man coughs.",0
46,"After someone hits a surface, a male coughs, a computer makes a noise, and someone talks with a man.",0
47,"Man coughs, then vehicle goes by",0
48,"A clack and a snore, then a cough and a man talks",0
49,People are waiting for a concert to start with some coughing and whispering.,0
50,A series of beeps as footsteps shuffle then brakes squeaking followed by a woman coughing,0
51,Coughing followed by a child crying and a woman speaking,0
52,Someone is coughing heavily in a PC pixel-art game.,0
53,Sick old man is coughing.,0
