,caption,class
0,A handblender is blending pancake mix in a glass bowl.,[1]
1,A cat is meowing.,[2]
2,Someone's cat is making a sound with reverb.,[2]
3,Someone's cat is purring.,[2]
4,Small beach town skyline traffic haze with close crickets and distant dogs barking.,[4]
5,Water is running into a bathtub covered in ice.,[7]
6,Oil is frying.,[6]
7,A toon voice is speaking.,[8]
8,Cooking and frying noises.,[6]
9,A cat is purring.,[2]
10,A speech is being spoken by a voice.,[8]
11,Water running down a drain after melting snow.,[7]
12,Someone is speaking in gradually madder fashion.,[8]
13,Steak is frying.,[6]
14,Steak is frying with knife blade noise.,[6]
15,Steak frying with knife noise.,[6]
16,Cooking and frying noises are being made.,[6]
17,Ghost is speaking.,[8]
18,Someone is speaking a dark phrase.,[8]
19,Mobile alarm ringtone.,[0]
20,Someone is speaking.,[8]
21,Fire alarm is ringing.,[0]
22,A voice is speaking.,[8]
23,An airplane is flying overhead with a dog barking nearby and a car nearby.,[4]
24,Nonsense speech is being spoken in windy conditions.,[8]
25,Someone is speaking backwards.,[8]
26,A cat is making a strange sound.,[2]
27,Wind noise and male speech is heard in windy conditions.,[8]
28,A religious speech is given.,[8]
29,A monster is speaking.,[8]
30,A man is speaking nonsense.,[8]
31,Someone is speaking on a boat as others row and talk.,[8]
32,Text is being converted to speech.,[8]
33,Cat meows are recorded.,[2]
34,A cat is eating and being noisy.,[2]
35,A vacuum cleaner is working on a rug.,[9]
36,A small dog is barking.,[4]
37,The revolutions of an electric mixer are being regulated.,[1]
38,Running water and construction sounds are being recorded in a garden.,[7]
39,Running water and works in progress are audible.,[7]
40,An old alarm clock winding up and ringing.,[0]
41,Text to speech is speaking.,[8]
42,"Vacuum cleaner on, run, and off.",[9]
43,Someone is running while a dog is barking.,[4]
44,"A dog is barking, a door is opening and closing, a car is passing, and other sounds are happening.",[4]
45,Someone is speaking a language.,[8]
46,A tourist guide is speaking and footsteps are heard.,[8]
47,Voices are speaking in the background of a train station.,[8]
48,Someone is running towards her uncle and speaking to him.,[8]
49,A dog is barking and there is traffic and quietness.,[4]
50,Someone is speaking a language with an accent.,[8]
51,Alarm clock is ringing.,[0]
52,A cat is mewing and a dog is barking.,"[2, 4]"
53,Water is falling and running.,[7]
54,Insects and a dog are barking.,[4]
55,A female is speaking.,[8]
56,People and birds are heard while someone is speaking.,[8]
57,A bulldog is barking and has been edited.,[4]
58,Tractor is mowing hay and birds are chirping with a dog barking in the background.,[4]
59,A cat is complaining to its owner.,[2]
60,"Someone is speaking, then getting drowned out by a steam organ.",[8]
61,Water is splashing/running off a plastic chair onto bitumen.,[7]
62,Reversed processed speech is being remixed from freesound.,[8]
63,Someone's wife is speaking.,[8]
64,A tractor is mowing the hay in a field with a dog barking and birds in the background.,[4]
65,A dog is barking in a veterinarian hospital.,[4]
66,Someone is speaking on a clock.,[8]
67,Someone is frying a steak in a pan and turning off the cooker hood.,[6]
68,Water is running out of a tap.,[7]
69,Someone is cleaning a room with a vacuum cleaner.,[9]
70,A giant robot is speaking.,[8]
71,"A calm downtown with birds, a barking dog, a river, wind, people talking, and a car passing.",[4]
72,Black house cat motor sound.,[2]
73,A natural cat sound has been doubled.,[2]
74,A female voice is speaking some words.,[8]
75,An alarm is ringing in a media library.,[0]
76,Voice is speaking in a language.,[8]
77,A zombie is speaking.,[8]
78,A speaker is speaking through a megaphone and chimes are on several passing bikes.,[8]
79,A dog is barking with intense traffic in the background.,[4]
80,"A dog is barking and people are shouting, with traffic in the background.",[4]
