,caption,class
0,Distant airplane sound in a forest.,0
1,Cargo plane ambiance is heard.,0
2,A large airplane flies,0
3,Someone is drilling walls as a plane is flying.,0
4,The sound of an airplane transitioning an area.,0
5,"Rocks are falling in a quarry and machinery, voices, and airplane sounds are audible.",0
6,"An airplane flies by very quickly, and then a man talks nearby",0
7,An airplane idles with its propellers running,0
8,Safety instructions are being given on a plane.,0
9,An airplane speaker tells something to passengers with talking in the background.,0
10,Sound is recorded on an airplane.,0
11,Plane is starting and idling.,0
12,The sound of an airplane lavatory is being recorded.,0
13,"While someone is in the bathroom taking a bath, a plane flies overhead.",0
14,A biplane is revving and sputtering.,0
15,Airplanes are flying overhead at a steady rate.,0
17,A plane flying with a male speaking,0
18,A plane is flying exterior.,0
19,Ambience in the cabin of an aeroplane is being recorded.,0
20,A vehicle running with an airplane flying in the background,0
21,An airplane that is flying in the air at a steady pace.,0
22,There is a city with a bus and a plane.,0
23,People and an airplane are heard at a beach.,0
24,Planet alien forest soundscape.,0
25,The running plane waits to takeoff from the tarmac.,0
26,A jet-plane is flying over a forest.,0
27,An airplane zooming by in the distance,0
28,A plane is landing and a hostess is giving a speech.,0
29,An airplane is landing and an announcement is being made.,0
30,A radioreceiver with an air traffic band is recording planes taking off.,0
31,Propellor plane ambience.,0
32,Sounds of construction workers and an airplane in a park.,0
33,A thicknesser plane is operating in a carpenters' workshop.,0
34,A plane is passing by,0
35,Planes are flying overhead and firing a cannon.,0
36,"A plane touches down, reverse pitch is applied, and a long taxi is heard.",0
37,Sounds of an alien planet.,0
38,Standing still as an audible plane is flying overhead,0
39,Someone is walking and hitting a cane on concrete with planes overhead.,0
40,A plane is passing and black-winged stilts are singing.,0
41,Inside a plane on takeoff.,0
42,A large airplane flies through the air,0
43,Small propeller plane and historical aircraft are taxiing.,0
44,"Light machinery is running and making noise, with a plane flying over in the background.",0
45,An airplane is flying low and fast overhead.,0
46,"An airplane approaches, followed by a musical whoosh effect",0
47,A cabin crew announcement is made on a plane.,0
48,Plane cabin sound.,0
49,An airplane is circling.,0
50,A recording was made on a plane.,0
51,An airplane flies overhead while a faucet leaks a few spurts of water.,0
52,Plane passing by.,0
53,A plane is flying over a field.,0
54,An airplane flies by then speeds off into the distance.,0
55,An airplane is flying at middle throttle.,0
56,An airplane or a jet is flying overhead and then coming for a landing.,0
57,An airplane is present.,0
58,A plane is starting and taxiing past.,0
59,Ocean sound and a plane are passing.,0
60,An airplane flies above,0
61,A plane passing over the countryside.,0
62,A plane is passing from left to right at high altitude.,0
63,People are boarding a plane.,0
64,A stream runs and a plane flies overhead,0
65,A propeller plane running,0
66,A passenger plane is taking off.,0
67,A plane is taxiing and shutting off.,0
68,Planes are making a close flyby.,0
69,A plane is mid-flight.,0
70,An airplane flying low.,0
71,A crested lark is singing with a distant plane in the background.,0
72,An airplane ambience is recorded.,0
73,An airplane going down a runway getting ready to takeoff.,0
74,"Golfers, airplane, and passing traffic ambiance by a golf course is recorded.",0
75,Plane is landing near a road.,0
76,A sound is being created similar to a characteristic signal at plane landing.,0
77,a very loud airplane in flight in the foreground,0
78,Planes are making flight noise.,0
79,A plane is flying overhead while someone is in the bathroom taking a bath.,0
80,An experimental single prop airplane is idling and taking off.,0
81,People are speaking over interplanetary telephone.,0
82,Airplane waiting for everyone to buckle up.,0
83,An airplane approaches and then flies by at moderate volume,0
84,A radio signal and airplane propeller,0
85,There is interior vocal ambience on an airplane.,0
86,Noise in an airplane.,0
87,A plane is being used.,0
88,A large propeller airplane takes off and flies away into the distance,0
89,"Airplane prop is in cockpit with idle, takeoff, cruise, and landing sounds.",0
90,Airplanes are flying in an air force parade.,0
91,Propeller plane flies by in an air show.,0
92,A distant low-flying airplane is heard.,0
93,Different sounds of a super planet enlightening its swarm of moons are heard.,0
94,A jet plane is making a sound.,0
95,A plane is on a runway with voices in the background.,0
96,A general aviation airplane is requesting transition to enter Class B airspace.,0
97,High frequency activity of airplane cabin passengers before departure.,0
98,The interior of a passenger plane is heard.,0
99,The ambience of a plane cabin is being recorded.,0
