,caption,class
0,Crickets and birds are chirping.,"[17, 22]"
1,Someone is walking on a water-sodden gravel path.,[73]
2,Someone is opening and closing a kitchen drawer.,[27]
3,Water is boiling in a pot on a stove.,[26]
4,Cars are passing by.,[12]
5,A hissing noise is manipulated.,[42]
6,Snapping fingers are being reversed and changed in tempo.,[34]
7,Someone is making a hissing noise.,[42]
8,Someone is washing their hands in a sink.,[61]
9,Pops and crackles are sweeping upward in frequency.,[21]
10,Various zipper sounds from containers are recorded.,[79]
11,Rain is falling down a gutter.,[55]
12,Water is falling to the bottom of a rain gutter.,[55]
13,Crowds are busy at the airport check-in.,[23]
14,Crickets and birds are chirping in a jungle with water drops on plants.,"[17, 22]"
15,"A longboat motor is being started, revved, driven, and shut off.","[0, 51]"
16,Ocean waves are crashing on a beach.,[75]
17,A toilet is flushing.,[70]
18,A motorcycle taxi is driving.,[51]
19,Walking across old snow to a river is being heard.,[73]
20,Someone is tapping a glass in the kitchen.,[68]
21,Someone is snapping and tapping on a laptop.,[68]
22,Someone puts a cellophane bag on fan blades and listens.,[48]
23,A minimalistic tape music piece is being played.,[68]
24,Hi-hat channel is playing.,[41]
25,The bells are ringing at a church.,[18]
26,Birds and crickets are chirping.,"[17, 22]"
27,"Crickets, birds and water drops are heard in a jungle.",[22]
28,"Crickets, birds, and water drops are echoing.",[22]
29,Jungle morning crickets and birds.,[22]
30,"Crickets, birds, and water drops are present.",[22]
31,Crickets and birds are echoing.,[22]
32,Crickets and water are heard in a jungle.,[22]
33,Vehicles are passing by.,[12]
34,A motorcycle is starting and passing by in a street with echo.,[51]
35,A passenger commuter train is idling and revving its engine.,[0]
36,Someone is walking in the snow.,[73]
37,A jar is being tapped in a kitchen.,[68]
38,Sea waves are breaking on the shore.,[75]
39,Water is flushing and filling in a toilet.,"[33, 70]"
40,Someone tapping a glass in the kitchen.,[68]
41,A cat is meowing.,[49]
42,A jar is being tapped as a percussion instrument in a kitchen.,[68]
43,Rain is falling on a metal roof and being recorded.,[55]
44,"Jungle ambiance with crickets, birds, and water drops.",[22]
45,Walking on old snow near a river.,[73]
46,People are walking in a big room.,[73]
47,A car is passing by with an interesting whistle.,[12]
48,Motorcycles and activity are present in a side street market.,[51]
49,Activity and motorcycles in a side street market.,[51]
50,Motorcycles are at a side street market.,[51]
51,Someone's cat is purring.,[53]
52,Zippers are making various sounds.,[79]
53,Traffic jam and footsteps are heard.,[73]
54,Motorcycles and a side street market are in operation.,[51]
55,Small street light traffic and motorcycles are passing by.,[51]
56,"Traffic is heavy at a busy intersection with motorcycles, trucks, and pedestrians.",[51]
57,Motorcycles are passing by in a tight street.,[51]
58,People and heavy motorcycles are heard in a market with a side street and canopy.,[51]
59,Small beach town skyline traffic haze with close crickets and distant dogs barking.,"[4, 22]"
60,Crickets are heard on a hillside.,[22]
61,Crickets making noise in a jungle.,[22]
62,Crickets and voices are heard in a jungle.,[22]
63,A crowd of large schoolchildren in a busy zoo cafeteria.,[23]
64,Crickets and birds are chirping in a jungle.,"[17, 22]"
65,A market is busy with sounds of covered fish and motorcycles.,[51]
66,A train is making metal squeaking noises and doors are sliding open.,[65]
67,A toilet is flushing in a bathroom.,[70]
68,Heavy mopeds and motorcycles are passing by.,[51]
69,"Traffic, mother and kid voices, and wet ambient bathroom drips are heard.",[28]
70,Someone is walking towards and opening a squeaky cattle gate.,"[73, 65]"
71,"Crickets, birds, and water drops are heard in a jungle morning.",[22]
72,A longboat with a rattling motor is being recorded.,[51]
73,"Birds, a horsecart, church bells, hammers, a tramway bell, and a bike bell are making sounds.","[8, 18]"
74,A table is squeaking.,[65]
75,An electric guitar sound is being made with whammy bar acrobatics.,[29]
76,A motorcycle is passing through traffic.,[51]
77,"Tap water, water being poured, flushing, and water boiling sounds are being made.","[74, 68]"
78,A motorcycle is captured.,[51]
79,Traffic and people are making a busy noise.,[71]
80,Rain is falling inside a tin shed.,[55]
81,Someone is zipping up something.,[79]
82,Motorcycles are making noise in a market.,[51]
83,Crickets and birds are squawking.,[22]
84,Microwave is running.,[50]
85,A squeaky cabinet hinge is being heard with a haunted house effect.,[65]
86,Someone is running a brush through long wet hair.,[56]
87,A car is accelerating.,[0]
88,"Crickets, birds, and water drops are present in a jungle in the morning.",[22]
89,A keyboard is playing sounds for an advertisement.,[20]
90,Motorcycles and a band saw passing by.,[51]
91,Traffic noise and seagulls are heard in front of a music house in the morning.,[71]
92,Heavy motorcycles in a busy street market.,[51]
93,Oil is frying.,[35]
94,Cars and birds are passing with wind rumble and natural reverb.,[12]
95,Sounds are being recorded inside a yellow train.,[78]
96,Someone is walking on crunchy snow.,[73]
97,An old fan is recorded.,[48]
98,A tuk tuk motorcycle taxi is driving with various speeds and stops.,[51]
99,A trip on a bus is recorded.,[10]
100,Someone is playing a blues type beat on a keyboard.,[20]
101,Motorcycles are heard echoing in a busy city.,[51]
102,A tuk tuk motorcycle taxi is driving.,[51]
103,Traffic noise is being recorded at a bus stop.,"[10, 71]"
104,Cooking and frying noises.,[35]
105,Someone is touching masking tape.,[68]
106,Waves are hitting pebbles on the beach.,[75]
107,Synthetic hi-hats and resonance are being produced.,[41]
108,Someone is opening and closing a desk drawer.,[27]
109,A cat is purring.,[53]
110,A pipe is dripping in a busy terminal.,[28]
111,Fan is accelerating and decelerating with background chatter.,[0]
112,Someone is making a sound by running their nails over a wooden plinth.,[56]
113,Fan is buzzing and switch is clicking.,[11]
114,Someone is playing with scotch tape.,[68]
115,Scissors are being touched.,[57]
116,Conversations are being recorded on cassette tape.,[68]
117,A tap is being processed.,[68]
118,Footsteps are being heard in a stairwell.,[73]
119,Water is flushing in a toilet.,[70]
120,"Computer mouse clicks, footsteps, voices, and door sounds in a library.",[73]
121,Muffled bass drum is being played with brush and drumstick.,[5]
122,"Footsteps, voices, and door sounds in a library.",[73]
123,A drum-beat is playing with distorted hi-hat.,[41]
124,An acoustic guitar and piano with synthetic strings and short elements is being played.,[2]
125,Motor-scooter is turning on.,[51]
126,Cymbals and a bass drum are being played with a brush and hand.,[5]
127,Applause and shouting are heard as the band leaves the stage.,[3]
128,Cars and motorcycles are passing by a parking garage.,"[51, 12]"
129,Women are chatting while waiting for a bus.,[41]
130,A stream is trickling down the hill and waves are crashing nearby.,[66]
131,A microwave is starting and stopping.,[50]
132,A frequency chirp with echo and fade in and out.,[17]
133,Steak is frying.,[35]
134,Steak is frying with knife blade noise.,[35]
135,Antique clockworks are ticking.,[69]
136,A noisy little utility box drawer is being opened and closed.,[27]
137,Steak frying with knife noise.,[35]
138,Cooking and frying noises are being made.,[35]
139,Water is falling and streaming.,[66]
140,Kitchen stove exhaust fan being close-miked.,[48]
141,The tap is making an odd noise in the shower.,[68]
142,A tiny fall in a stream is being recorded.,[66]
143,Someone is tapping a piece of metal.,[68]
144,Busy street with traffic and sidewalk in a city.,[73]
145,Someone is moving a squeaky ledge with a keyboard.,"[65, 20]"
146,Rain is falling.,[55]
147,"A device is spinning, writing, and shutting down.",[77]
148,"A high-pitched squeak is heard, resembling baby birds chirping.","[65, 17]"
149,Footsteps and voices are present at a building entrance.,[73]
150,Someone is touching a zipper.,[79]
151,Someone is walking on gravel with a chair.,[73]
152,Something is being slammed.,[63]
153,An extraction fan is making sound in a kitchen.,[48]
154,A train is arriving and footsteps are heard.,[73]
155,Someone is making industrial sounds with hand and brush on cymbals on the head of a bass drum with audible breathing.,[5]
156,Random noise is being generated under the raindrops.,[55]
157,Galvanized sheet metal is being tapped with a wooden stick.,[68]
158,Antique clocks ticking and striking.,[69]
159,Noise is being generated by a hydrophone under the rain.,[55]
160,Rain is falling near the microphones.,[55]
161,Clockwork is ticking and striking.,[69]
162,A squeak from an office chair sounds like baby birds chirping.,"[65, 17]"
163,Footsteps are echoing in a stairwell.,[73]
164,A spoon is slammed on a metal pot and fell down with a crash.,"[26, 63]"
165,Footsteps are being recorded.,[73]
166,Water is being filled into a bottle and spilled.,[33]
167,An airplane is flying overhead with a dog barking nearby and a car nearby.,[4]
168,A blue dragon squeaky dog toy is being played with.,[65]
169,A faucet is dripping slowly in a metal sink.,"[74, 28]"
170,A field full of frogs with passing cars.,[12]
171,Cassette tape is making a glitch sound.,[68]
172,Boots are walking in snow.,[73]
173,Feet are squeaking on the indoor tennis dome floor.,[65]
174,Raindrops are hitting a window.,[55]
175,Raindrops on a window air conditioner.,[55]
176,A bass drum is being recorded.,[5]
177,A small stream is making a sound.,[66]
178,A small stream is looping.,[66]
179,A printer is smashed onto a parking lot.,[52]
180,Tropical rain is falling over a garden.,[55]
181,Crickets are making sounds.,[22]
182,Someone is urinating and flushing a toilet in a binaural stereo recording.,[70]
183,An accordion and a musical instrument are playing.,[1]
184,Someone is writing with a non-ball-point pen.,[77]
185,Ambient noise on a bus ride is captured.,[10]
186,An overhead fan on high is heard from a stove.,[48]
187,A sound is being produced by knocking on wood.,[44]
188,Traffic and people are making noise.,[71]
189,A zipper is being closed.,[79]
190,Wood is being knocked on.,[44]
191,Wind noise and male speech is heard in windy conditions.,[46]
192,An old cassette tape is being played.,[68]
193,A water tap is singing.,"[74, 68]"
194,Footsteps are heard walking down a tiled corridor.,[73]
195,A keyboard is making noise.,[20]
196,Someone is running a finger down a heater cover.,[56]
197,A klezmer style improvisation is played on a pocket-clarinet and accordion.,[1]
198,Fireworks and people cheering are heard.,[13]
199,Sound is recorded to tape.,[68]
200,Crickets are chirring.,[22]
201,Crickets are chirring near a motorway.,"[51, 22]"
202,An acoustic guitar is being played on a portable cassette recorder.,[2]
203,A church bell is ringing with city noise.,[18]
204,"Wind is blowing, a metal door is squeaking, and air is blowing through trees on a farm.",[65]
205,A collection of glitchy sounds processed from an electric guitar feedback timbre-like sound.,[29]
206,Different objects are making various squeaks and sounds.,[65]
207,A tin of condensed milk is being stroked and tapped delicately.,[68]
208,Raindrops are hitting a window air conditioner.,[55]
209,Keys are jangling with some talking in the background.,[43]
210,Rubbing sounds and footsteps.,[73]
211,Someone is walking in the snow collecting sounds.,[73]
212,Something sounds like circling buzzards.,[11]
213,An acoustic guitar is being played.,[2]
214,A man is speaking nonsense.,[46]
215,Drawers are opening and closing.,[27]
216,Birds and rain forest animals are chirping in the morning air with cave reverberation and water dripping.,"[17, 28, 55]"
217,"A female voice is saying ""virtual machine"".",[32]
218,Someone is making a hissing sound with their mouth.,[42]
219,A band is performing in a city with traffic noise.,[71]
220,A weaverbird is chirping.,[17]
221,An electric guitar is being played.,[29]
222,An accordion is played.,[1]
223,An old and noisy cassette tape is discovered.,[68]
