,caption,class
0,An air conditioner is humming.,0
1,A wall-mounted air conditioning unit is running in fan and compressor modes.,0
2,Air conditioner is above a shower.,0
3,"Passengers, announcements, footsteps, luggage, air conditioning, and noise from restaurants are being heard in an airport departure hall.",0
4,Room tone with air conditioning.,0
5,An air conditioner is idling.,0
6,A window air conditioner unit is making metallic sounds.,0
7,Computers are running and air conditioning is making sounds.,0
8,"Air conditioner hum, trucks and car traffic are in the distance.",0
9,An air conditioning system is running.,0
10,An air conditioner is running on high.,0
11,Air conditioner device with a sequence.,0
12,"An air conditioner is starting, running and stopping.",0
13,Air conditioning is in a gallery space.,0
14,The air condition of a house is turning off.,0
15,An air conditioner is making sounds.,0
16,An air conditioner is making a sound.,0
17,Air conditioning is humming outside.,0
18,Raindrops are close mic'd on a window air conditioner.,0
19,An air conditioning unit is making a whirring sound.,0
20,Air conditioning is making a rumble.,0
21,An air conditioner is blowing air.,0
22,A large ceiling mount office air conditioner is humming.,0
23,Insects and a talkative crow are dominating with an air conditioner in the background.,0
24,An air conditioner is making a rattle hum.,0
25,An air conditioning unit is being recorded in a mall entrance.,0
26,Air conditioner is recording.,0
27,"Traffic, crickets, and air conditioner are making sounds.",0
28,Air conditioning is blowing in a lost property locker room in a morgue.,0
29,Crickets are chirping and air conditioner is droning in the background.,0
30,"Ambience of airport departures with passengers, announcements, footsteps, luggage, and air conditioning.",0
31,Ambient loop of fans and air conditioning unit.,0
32,A generator for an air conditioner is playing with low frequencies cut.,0
33,"Restaurant chatter, crickets, air conditioner hum, passing trains & cars are heard.",0
34,An air conditioner is spraying.,0
35,Someone is playing a handpan with the sound of air conditioning in the background.,0
36,Equipment is making a steady roar and quiet bleeps in a room with computer disc drives and air conditioning.,0
37,An air conditioner vent is dripping.,0
38,An air conditioning unit is running inside a university college building.,0
39,Sound of an air conditioner.,0
40,Someone is strumming and plucking the vent fins of a large air conditioner unit.,0
41,"People are talking, laughing and air conditioning is on.",0
42,"Air conditioning, PA songs, checkout chatter, barcode scanners, and shopping carts are making noise.",0
43,An air conditioner vent is heard.,0
44,An outdoor air conditioning unit is being recorded.,0
45,Drugstore air condition machine.,0
46,Air is rushing through an air conditioning vent.,0
47,"Machines, fans, and air conditioners are making sounds.",0
48,Room tone with vintage air conditioner.,0
49,In a warehouse with an air conditioning a crowd of people move about,0
50,"Bus is making sounds, air conditioning is on, someone is sneezing, and station announcements are being made.",0
51,"An air conditioner blares while people chatter, then a metal object jingles.",0
52,An air conditioning unit is blowing.,0
53,Air conditioner is running constant.,0
54,An air conditioner is prominent in a recording.,0
55,A car air conditioner is humming.,0
56,Air conditioner sound.,0
57,Air conditioning sounds are present.,0
58,A single cricket is chirping in an air conditioning vent.,0
59,A whirly noise is being made by an air conditioner.,0
60,Mixture of static and electric noises with air conditioner.,0
61,The sound of air conditioning.,0
62,A air conditioner is blowing on its high setting,0
63,An older home's air conditioner is making noise.,0
64,An air conditioning unit is being recorded.,0
65,An air conditioning system is heating a big room.,0
66,An air conditioning unit is making noise.,0
67,"Kids are playing, neighbors are using a stereo and an air conditioner, birds are singing, and a train is tooting.",0
68,Roomtone with air conditioning and fan in a hotel common area.,0
69,Low air conditioning ambience sound is being recorded.,0
70,"Distant voices, air conditioning and traffic are heard at a police station.",0
71,Air conditioner and fan are making ambience.,0
72,An air conditioner/ventilation is clattering.,0
73,A close-miked air conditioner unit is in a small bathroom and sounds like a low rumble.,0
74,An air conditioner is being turned on and off.,0
75,Nature noises and a loud air conditioner are heard.,0
76,Raindrops on a window air conditioner.,0
77,An air conditioner is running.,0
78,An air conditioner fan from a car is being recorded.,0
79,Constant hum of an air conditioning unit in an office garden.,0
80,An air conditioning machine is blowing wind.,0
81,"The atmosphere in an operating theatre is heard, with the hum of air conditioning, instruments and equipment being used and moved, and indistinct speech.",0
82,An exterior air conditioning vent with changed pitch.,0
83,"Car park sounds, air conditioning, tires squeaking.",0
84,Water is dripping from an air conditioning unit.,0
85,A field recording is being made inside a bus with an air conditioner hum.,0
86,Someone is turning on an air conditioner.,0
87,The distant hum of the air conditioner is muffled as people are speaking.,0
88,An air conditioner is being recorded.,0
89,Restaurant has heavy air conditioner and background traffic can be heard.,0
90,"Fans, air conditioning, and occasional mouse clicks are making sounds.",0
91,Someone is walking down a hallway with air conditioning sounds.,0
